Name,Submitted,Accepted,Rejected,AvgScore,AvgAcceptedScore
Google,409,197,212,5.789804400977998,6.585025380710664
Stanford University,241,124,117,5.929917012448134,6.610080645161294
University of California Berkeley,222,94,128,5.8554054054054046,6.663617021276597
Carnegie Mellon University,184,89,95,5.8663043478260875,6.547191011235954
Massachusetts Institute of Technology,220,88,132,5.691772727272721,6.4273863636363595
Microsoft,167,63,104,5.625808383233534,6.447460317460317
Korea Advanced Institute of Science and Technology,163,59,104,5.549079754601227,6.25677966101695
University of Oxford,126,57,69,5.699523809523807,6.57035087719298
Facebook,143,55,88,5.742027972027972,6.562545454545456
University of Montreal,93,53,40,5.933118279569891,6.660566037735849
Swiss Federal Institute of Technology,95,46,49,5.751263157894737,6.45913043478261
University of Washington,74,46,28,6.103918918918921,6.577826086956523
DeepMind,85,42,43,6.076470588235294,6.793333333333335
"Tsinghua University, Tsinghua University",104,37,67,5.386153846153846,6.360270270270271
"University of Texas, Austin",80,37,43,5.845624999999999,6.589189189189187
Tsinghua University,83,36,47,5.629397590361445,6.295277777777779
University of Cambridge,76,36,40,6.002236842105261,6.664999999999998
Princeton University,89,36,53,5.912696629213482,6.70972222222222
University of Toronto,65,35,30,6.037076923076923,6.554571428571428
University of Southern California,99,32,67,5.541010101010102,6.478125
Google Brain,53,31,22,6.089056603773584,6.708387096774195
Seoul National University,83,31,52,5.568313253012047,6.468387096774194
"University of California, San Diego",59,28,31,5.716271186440677,6.247142857142857
New York University,64,28,36,5.819218750000001,6.6292857142857144
Duke University,69,28,41,5.585942028985507,6.389642857142857
"University of Maryland, College Park",67,28,39,5.641940298507464,6.384285714285714
Georgia Institute of Technology,81,28,53,5.691728395061728,6.369642857142858
University College London,74,27,47,5.638648648648646,6.503703703703702
"Department of Computer Science, University of Toronto",54,27,27,5.924074074074075,6.511851851851851
"University of California, Los Angeles",78,26,52,5.630641025641027,6.445384615384615
Peking University,134,26,108,5.283358208955221,6.621153846153845
University of Michigan,50,25,25,5.8187999999999995,6.443199999999999
Amazon,61,23,38,5.605409836065574,6.532608695652174
International Business Machines,61,22,39,5.666885245901638,6.371818181818181
University of Amsterdam,46,21,25,6.012826086956522,6.690476190476191
"School of Computer Science, Carnegie Mellon University",39,21,18,5.764102564102564,6.621428571428572
Rice University,50,21,29,5.854399999999999,6.658095238095238
"Max Planck Institute for Intelligent Systems, Max-Planck Institute",36,19,17,5.708333333333334,6.465263157894737
Johns Hopkins University,42,19,23,5.67404761904762,6.096315789473684
Columbia University,61,18,43,5.531639344262297,6.361111111111111
Harvard University,47,18,29,5.572340425531914,6.301111111111111
