Name,Affiliation,Submitted,Accepted,Rejected,AvgScore,AvgAcceptedScore,FirstAuthorCount,LastAuthorCount
Keyulu Xu,Massachusetts Institute of Technology,1,1,0,8.75,8.75,1,0
Mozhi Zhang,"University of Maryland, College Park",1,1,0,8.75,8.75,0,0
Jingling Li,"Department of Computer Science, University of Maryland, College Park",1,1,0,8.75,8.75,0,0
Simon Shaolei Du,University of Washington,6,5,1,6.4750000000000005,6.82,1,1
Ken-Ichi Kawarabayashi,,1,1,0,8.75,8.75,0,0
Stefanie Jegelka,Massachusetts Institute of Technology,3,2,1,6.916666666666667,7.625,0,3
Bo Zhao,University of Edinburgh,1,1,0,8.33,8.33,1,0
Konda Reddy Mopuri,University of Edinburgh,2,1,1,6.54,8.33,0,0
Hakan Bilen,University of Edinburgh,2,1,1,6.79,8.33,0,2
Luca Weihs,Allen Institute for Artificial Intelligence,2,1,1,7.0,8.25,2,0
Aniruddha Kembhavi,Allen Institute for Artificial Intelligence,2,1,1,7.0,8.25,0,0
Kiana Ehsani,Allen Institute for Artificial Intelligence,3,2,1,6.890000000000001,7.5,1,0
Sarah M Pratt,Allen Institute for Artificial Intelligence,1,1,0,8.25,8.25,0,0
Winson Han,,1,1,0,8.25,8.25,0,0
Alvaro Herrasti,,1,1,0,8.25,8.25,0,0
Eric Kolve,Allen Institute for Artificial Intelligence,1,1,0,8.25,8.25,0,0
Dustin Schwenk,,1,1,0,8.25,8.25,0,0
Roozbeh Mottaghi,Allen Institute for AI,2,2,0,7.5,7.5,0,0
Ali Farhadi,University of Washington,3,2,1,6.890000000000001,7.5,0,3
David A. Klindt,"Max Planck Institute for Intelligent Systems, Max-Planck Institute",1,1,0,8.25,8.25,1,0
Lukas Schott,,1,1,0,8.25,8.25,0,0
Yash Sharma,"Centre for Integrative Neuroscience, AG Bethge",3,2,1,6.666666666666667,7.375,0,0
Ivan Ustyuzhaninov,University of Tübingen,1,1,0,8.25,8.25,0,0
Wieland Brendel,"Tübingen AI Center, University of Tübingen",3,2,1,6.666666666666667,7.375,0,1
Matthias Bethge,University of Tuebingen,3,2,1,6.916666666666667,7.375,0,0
Dylan Paiton,University of Tuebingen,1,1,0,8.25,8.25,0,1
Matthew Smart,University of Toronto,1,1,0,8.0,8.0,1,0
Anton Zilman,University of Toronto,1,1,0,8.0,8.0,0,1
Ainesh Bakshi,"School of Computer Science, Carnegie Mellon University",1,1,0,8.0,8.0,1,0
Chiranjib Bhattacharyya,Indian Institute of Science,1,1,0,8.0,8.0,0,0
Ravi Kannan,,1,1,0,8.0,8.0,0,0
David Woodruff,Carnegie Mellon University,3,1,2,6.583333333333333,8.0,0,1
Samson Zhou,"School of Computer Science, Carnegie Mellon University",3,1,2,6.25,8.0,0,3
Marcin Andrychowicz,Google,1,1,0,8.0,8.0,1,0
Anton Raichuk,Google,1,1,0,8.0,8.0,0,0
Piotr Stańczyk,,1,1,0,8.0,8.0,0,0
Manu Orsini,,1,1,0,8.0,8.0,0,0
Sertan Girgin,,1,1,0,8.0,8.0,0,0
Raphaël Marinier,Google,1,1,0,8.0,8.0,0,0
Leonard Hussenot,Google,2,2,0,7.25,7.25,0,0
Matthieu Geist,Google,3,3,0,6.9433333333333325,6.9433333333333325,0,1
Olivier Pietquin,Google Brain,3,3,0,6.9433333333333325,6.9433333333333325,0,1
Marcin Michalski,Google,1,1,0,8.0,8.0,0,0
Sylvain Gelly,Google Brain,4,3,1,6.8125,7.083333333333333,0,0
Olivier Bachem,Google Brain,1,1,0,8.0,8.0,0,1
Aston Zhang,Amazon,2,2,0,7.125,7.125,1,0
Yi Tay,Google,6,4,2,6.263333333333333,6.77,3,0
SHUAI Zhang,Swiss Federal Institute of Technology,1,1,0,8.0,8.0,0,0
Alvin Chan,Nanyang Technological University,2,2,0,7.125,7.125,1,0
Anh Tuan Luu,Nanyang Technological University,2,2,0,7.5,7.5,0,1
Siu Hui,Nanyang Technological University,1,1,0,8.0,8.0,0,0
Jie Fu,Polytechnique Montreal,2,2,0,7.125,7.125,0,2
Colin Wei,"Computer Science Department, Stanford University",3,1,2,6.640000000000001,8.0,1,0
Kendrick Shen,Stanford University,1,1,0,8.0,8.0,0,0
Yining Chen,Stanford University,2,2,0,7.375,7.375,0,0
Tengyu Ma,Stanford University,7,4,3,6.417142857142857,7.125,0,5
Yang Song,Stanford University,6,4,2,6.528333333333333,7.0425,1,0
Jascha Sohl-Dickstein,Google,7,1,6,5.582857142857143,8.0,0,4
Diederik P Kingma,Google,3,2,1,6.8066666666666675,7.335,0,2
Abhishek Kumar,Google Brain,1,1,0,8.0,8.0,0,0
Stefano Ermon,Stanford University,14,7,7,6.2700000000000005,6.885714285714286,0,11
Ben Poole,Google,4,2,2,6.25,7.335,0,1
Mike Gartrell,Criteo AI Lab,1,1,0,8.0,8.0,1,0
Insu Han,Korea Advanced Institute of Science and Technology,1,1,0,8.0,8.0,0,0
Elvis Dohmatob,Criteo,1,1,0,8.0,8.0,0,0
Jennifer Gillenwater,Google,2,2,0,7.165,7.165,0,0
Victor-Emmanuel Brunel,Ensae ParisTech,1,1,0,8.0,8.0,0,1
Xizhou Zhu,SenseTime,2,2,0,7.0,7.0,1,0
Weijie Su,University of Science and Technology of China,1,1,0,8.0,8.0,0,0
Lewei Lu,"South China University of Technology, Tsinghua University",1,1,0,8.0,8.0,0,0
Bin Li,University of Science and Technology of China,1,1,0,8.0,8.0,0,0
Xiaogang Wang,Chinese University of Hong Kong,3,2,1,6.416666666666667,7.0,0,0
Jifeng Dai,SenseTime Group Ltd,2,2,0,7.0,7.0,0,2
Vincent LE GUEN,Conservatoire National des Arts et Métiers,1,1,0,8.0,8.0,1,0
Yuan Yin,"Sorbonne Université, LIP6",1,1,0,8.0,8.0,0,0
Jérémie DONA,MLIA,1,1,0,8.0,8.0,0,0
Ibrahim Ayed,LIP6,1,1,0,8.0,8.0,0,0
Emmanuel de Bezenac,,1,1,0,8.0,8.0,0,0
Nicolas THOME,Cnam,1,1,0,8.0,8.0,0,0
patrick gallinari,"Sorbonne Universite, Criteo AI Lab",2,2,0,7.165,7.165,0,2
Erik Arakelyan,University College London,1,1,0,8.0,8.0,1,0
Daniel Daza,Vrije Universiteit Amsterdam,1,1,0,8.0,8.0,0,0
Pasquale Minervini,University College London,1,1,0,8.0,8.0,0,0
Michael Cochez,VU Amsterdam,1,1,0,8.0,8.0,0,1
Brenden K Petersen,Lawrence Livermore National Labs,1,1,0,8.0,8.0,1,0
Mikel Landajuela Larma,Lawrence Livermore National Labs,1,1,0,8.0,8.0,0,0
Terrell N. Mundhenk,Lawrence Livermore National Labs,1,1,0,8.0,8.0,0,0
Claudio Prata Santiago,,1,1,0,8.0,8.0,0,0
Soo Kyung Kim,Lawrence Livermore National Labs,1,1,0,8.0,8.0,0,0
Joanne Taery Kim,,1,1,0,8.0,8.0,0,1
Tobias Pfaff,Deepmind,1,1,0,7.75,7.75,1,0
Meire Fortunato,DeepMind,1,1,0,7.75,7.75,0,0
Alvaro Sanchez-Gonzalez,DeepMind,1,1,0,7.75,7.75,0,0
Peter Battaglia,DeepMind,1,1,0,7.75,7.75,0,1
Qiang Zhang,Shanghai Jiao Tong University,1,1,0,7.75,7.75,1,0
Tete Xiao,University of California Berkeley,3,2,1,6.5,7.125,1,0
Alexei A Efros,University of California Berkeley,4,3,1,6.5625,7.083333333333333,0,0
Lerrel Pinto,New York University,3,3,0,7.083333333333333,7.083333333333333,0,1
Xiaolong Wang,"University of California, San Diego",10,6,4,6.3100000000000005,6.5,0,2
Nicola De Cao,University of Amsterdam,2,2,0,7.25,7.25,1,0
Gautier Izacard,Ecole polytechnique,2,2,0,7.25,7.25,1,0
Sebastian Riedel,University College London,2,2,0,7.25,7.25,0,0
Fabio Petroni,Facebook,1,1,0,7.75,7.75,0,1
Waiss Azizian,Ecole Normale Supérieure de Paris,1,1,0,7.75,7.75,1,0
marc lelarge,inria,3,1,2,5.5,7.75,0,3
Ruochen Wang,"University of California, Los Angeles",2,2,0,6.875,6.875,1,0
