title,url,avg_rating,ratings,final_decision
How Neural Networks Extrapolate: From Feedforward to Graph Neural Networks,https://openreview.net/forum?id=UH-cmocLJC,8.75,"[9.0, 8.0, 9.0, 9.0]",Accept (Oral)
Dataset Condensation with Gradient Matching,https://openreview.net/forum?id=mSAKhLYLSsl,8.33,"[8.0, 8.0, 9.0]",Accept (Oral)
Learning Generalizable Visual Representations via Interactive Gameplay,https://openreview.net/forum?id=UuchYL8wSZo,8.25,"[8.0, 8.0, 8.0, 9.0]",Accept (Oral)
Towards Nonlinear Disentanglement in Natural Data with Temporal Sparse Coding,https://openreview.net/forum?id=EbIDjBynYJ8,8.25,"[7.0, 9.0, 9.0, 8.0]",Accept (Oral)
On the mapping between Hopfield networks and Restricted Boltzmann Machines,https://openreview.net/forum?id=RGJbergVIoO,8,"[7.0, 7.0, 10.0]",Accept (Oral)
Learning a Latent Simplex in Input Sparsity Time,https://openreview.net/forum?id=04LZCAxMSco,8,"[8.0, 9.0, 7.0]",Accept (Spotlight)
What Matters for On-Policy Deep Actor-Critic Methods? A Large-Scale Study,https://openreview.net/forum?id=nIAxjsniDzg,8,"[9.0, 7.0, 9.0, 7.0]",Accept (Oral)
Parameterization of Hypercomplex Multiplications,https://openreview.net/forum?id=rcQdycl0zyk,8,"[8.0, 8.0, 8.0]",Accept (Spotlight)
Theoretical Analysis of Self-Training with Deep Networks on Unlabeled Data,https://openreview.net/forum?id=rC8sJ4i6kaH,8,"[7.0, 7.0, 9.0, 9.0]",Accept (Oral)
Score-Based Generative Modeling through Stochastic Differential Equations,https://openreview.net/forum?id=PxTIG12RRHS,8,"[8.0, 9.0, 7.0, 8.0]",Accept (Oral)
Scalable Learning and MAP Inference for Nonsymmetric Determinantal Point Processes,https://openreview.net/forum?id=HajQFbx_yB,8,"[7.0, 8.0, 9.0]",Accept (Oral)
Deformable DETR: Deformable Transformers for End-to-End Object Detection,https://openreview.net/forum?id=gZ9hCDWe6ke,8,"[8.0, 7.0, 8.0, 9.0]",Accept (Oral)
Augmenting Physical Models with Deep Networks for Complex Dynamics Forecasting,https://openreview.net/forum?id=kmG8vRXTFv,8,"[8.0, 7.0, 9.0]",Accept (Oral)
Complex Query Answering with Neural Link Predictors,https://openreview.net/forum?id=Mos9F9kDwkz,8,"[9.0, 8.0, 6.0, 9.0]",Accept (Oral)
Deep symbolic regression: Recovering mathematical expressions from data via risk-seeking policy gradients,https://openreview.net/forum?id=m5Qsh0kBQG,8,"[7.0, 9.0, 8.0, 8.0]",Accept (Oral)
Learning Mesh-Based Simulation with Graph Networks,https://openreview.net/forum?id=roNqYL0_XP,7.75,"[10.0, 6.0, 6.0, 9.0]",Accept (Spotlight)
Learning Cross-Domain Correspondence for Control with Dynamics Cycle-Consistency,https://openreview.net/forum?id=QIRlze3I6hX,7.75,"[10.0, 7.0, 8.0, 6.0]",Accept (Oral)
Autoregressive Entity Retrieval,https://openreview.net/forum?id=5k8F6UU39V,7.75,"[8.0, 8.0, 8.0, 7.0]",Accept (Spotlight)
Expressive Power of Invariant and Equivariant Graph Neural Networks,https://openreview.net/forum?id=lxHgXYN4bwl,7.75,"[8.0, 6.0, 8.0, 9.0]",Accept (Spotlight)
Rethinking Architecture Selection in Differentiable NAS,https://openreview.net/forum?id=PKubaeJkw3,7.75,"[7.0, 7.0, 10.0, 7.0]",Accept (Oral)
Share or Not? Learning to Schedule Language-Specific Capacity for Multilingual Translation,https://openreview.net/forum?id=Wj4ODo0uyCF,7.75,"[8.0, 9.0, 7.0, 7.0]",Accept (Oral)
When Do Curricula Work?,https://openreview.net/forum?id=tW4QEInpni,7.67,"[8.0, 8.0, 7.0]",Accept (Oral)
Invariant Representations for Reinforcement Learning without Reconstruction,https://openreview.net/forum?id=-2FCwDKRREu,7.67,"[9.0, 7.0, 7.0]",Accept (Oral)
Do 2D GANs Know 3D Shape? Unsupervised 3D Shape Reconstruction from 2D Image GANs,https://openreview.net/forum?id=FGqiDsBUKL0,7.67,"[7.0, 8.0, 8.0]",Accept (Oral)
Distributional Sliced-Wasserstein and Applications to Generative Modeling,https://openreview.net/forum?id=QYjO70ACDK,7.67,"[7.0, 7.0, 9.0]",Accept (Spotlight)
Geometry-aware Instance-reweighted Adversarial Training,https://openreview.net/forum?id=iAX0l6Cz8ub,7.67,"[7.0, 8.0, 8.0]",Accept (Oral)
Predicting Infectiousness for Proactive Contact Tracing,https://openreview.net/forum?id=lVgB2FUbzuQ,7.67,"[7.0, 7.0, 9.0]",Accept (Spotlight)
EigenGame: PCA as a Nash Equilibrium,https://openreview.net/forum?id=NzTU59SYbNq,7.67,"[8.0, 7.0, 8.0]",Accept (Oral)
Extreme Memorization via Scale of Initialization,https://openreview.net/forum?id=Z4R1vxLbRLO,7.67,"[7.0, 7.0, 9.0]",Accept (Poster)
Neural Synthesis of Binaural Speech,https://openreview.net/forum?id=uAX8q61EVRu,7.67,"[7.0, 7.0, 9.0]",Accept (Oral)
Optimal Rates for Averaged Stochastic Gradient Descent under Neural Tangent Kernel Regime,https://openreview.net/forum?id=PULSD5qI2N1,7.6,"[7.0, 7.0, 8.0, 8.0, 8.0]",Accept (Oral)
DiffWave: A Versatile Diffusion Model for Audio Synthesis,https://openreview.net/forum?id=a-xFK8Ymz5J,7.6,"[7.0, 9.0, 8.0, 7.0, 7.0]",Accept (Oral)
Human-Level Performance in No-Press Diplomacy via Equilibrium Search,https://openreview.net/forum?id=0-uUGPbIjD,7.5,"[8.0, 7.0, 8.0, 7.0]",Accept (Oral)
Rethinking Attention with Performers,https://openreview.net/forum?id=Ua6zuk0WRH,7.5,"[8.0, 7.0, 8.0, 7.0]",Accept (Oral)
Implicit Normalizing Flows,https://openreview.net/forum?id=8PS8m9oYtNy,7.5,"[8.0, 7.0, 8.0, 7.0]",Accept (Spotlight)
Rethinking the Role of Gradient-based Attribution Methods for Model Interpretability,https://openreview.net/forum?id=dYeAHXnpWJ4,7.5,"[5.0, 7.0, 9.0, 9.0]",Accept (Oral)
Learning-based Support Estimation in Sublinear Time,https://openreview.net/forum?id=tilovEHA3YS,7.5,"[8.0, 7.0, 8.0, 7.0]",Accept (Spotlight)
Grounded Language Learning Fast and Slow,https://openreview.net/forum?id=wpSWuz_hyqA,7.5,"[8.0, 8.0, 8.0, 6.0]",Accept (Spotlight)
Randomized Automatic Differentiation,https://openreview.net/forum?id=xpx9zj7CUlY,7.5,"[7.0, 7.0, 8.0, 8.0]",Accept (Oral)
Conditional Generative Modeling via Learning the Latent Space,https://openreview.net/forum?id=VJnrYcnRc6,7.5,"[7.0, 6.0, 10.0, 7.0]",Accept (Poster)
The Traveling Observer Model: Multi-task Learning Through Spatial Variable Embeddings,https://openreview.net/forum?id=qYda4oLEc1,7.5,"[6.0, 6.0, 9.0, 9.0]",Accept (Spotlight)
Winning the L2RPN Challenge: Power Grid Management via Semi-Markov Afterstate Actor-Critic,https://openreview.net/forum?id=LmUJqB1Cz8,7.5,"[7.0, 9.0, 7.0, 7.0]",Accept (Spotlight)
Learning to Reach Goals via Iterated Supervised Learning,https://openreview.net/forum?id=rALA0Xo6yNJ,7.5,"[7.0, 8.0, 8.0, 7.0]",Accept (Oral)
Recurrent Independent Mechanisms,https://openreview.net/forum?id=mLcmdlEUxy-,7.5,"[7.0, 7.0, 7.0, 9.0]",Accept (Spotlight)
